Gene_id	A1	B1	A2	B2	length
G00001	0	0	0	0	1260
G00002	1	0	1	1	612
G00003	53	81	567	103	762
G00004	253	347	1537	146	1488
G00005	0	0	1	0	384
G00006	0	3	5	0	369
G00007	0	8	7	0	1296
G00008	1	3	2	0	315
G00009	25	229	75	26	1398
G00010	10	28	50	13	1092
G00011	1726	3153	1668	346	1215
G00012	1590	2596	2056	613	1740
G00013	9	36	8	9	2409
G00014	131	181	412	42	606
G00015	64	153	182	34	1419
G00016	31	46	156	43	1038
G00017	1256	1457	5766	468	1617
G00018	22	23	148	30	357
G00019	2	34	65	12	591
G00020	12	21	8	0	2274
G00021	0	4	1	1	633
G00022	0	3	1	0	705
G00023	3	7	4	1	654
G00024	134	158	298	40	759
G00025	11	31	12	2	1815
G00026	1	2	10	1	408
G00027	8	30	21	2	1692
G00028	5	28	2	4	1125
G00029	1	1	0	0	1221
G00030	0	2	1	0	456
G00031	0	1	0	0	1200
G00032	0	3	13	6	1596
G00033	58	111	130	10	2499
G00034	1	7	3	1	1692
G00035	1	11	4	0	1581
G00036	14	9	27	6	489
G00037	0	2	3	0	1557
G00038	0	7	5	2	1059
G00039	3	14	15	4	1197
G00040	1	5	1	0	1482
G00041	1	32	20	0	1467
G00042	96	143	157	47	786
G00043	106	231	219	46	1500
G00044	193	231	265	67	621
G00045	560	774	560	382	726
G00046	491	625	532	123	669
G00047	1270	1552	2199	320	915
G00048	9	8	20	10	1185
G00049	99	195	120	59	201
G00050	187	370	422	78	1365
G00051	0	4	5	1	1494
G00052	878	1487	1543	475	1635
G00053	21	49	73	19	195
G00054	48	93	175	34	1251
G00055	5	31	31	6	804
G00056	216	710	319	83	5865
G00057	11	47	34	8	567
G00058	0	1	1	0	753
G00059	881	1881	1660	703	585
G00060	101	130	433	73	1320
G00061	74	108	234	46	1080
G00062	211	207	746	68	1818
G00063	76	112	181	27	1101
G00064	0	0	0	0	156
G00065	141	247	364	54	2517
G00066	1247	1608	4182	673	1761
G00067	125	128	288	48	1014
G00068	319	350	1968	207	2319
G00069	22	37	59	15	1080
G00070	1871	2517	6928	1127	1374
G00071	82	81	234	20	1239
G00072	20	18	47	10	2031
G00073	6	7	7	0	1395
