Gene_id	A1	A2	B1	B2	A3	B3	length
G000001	576	1048	993	756	825	1266	1062
G000002	0	0	0	0	0	0	940.5
G000003	2590	3401	2674	2078	2879	3221	1074
G000004	109	35	255	169	111	184	2916
G000005	293	375	1289	719	415	1139	1384
G000006	0	0	8	0	0	4	2021
G000007	51	10	56	0	38	46	1587
G000008	1098	1281	1409	1284	1015	1640	1120
G000009	993	953	1488	1065	1293	1599	811.5
G000010	647	825	1163	900	903	1058	2735.5
G000011	262	277	196	198	269	167	1077
G000012	1013	1221	718	499	1730	582	1693.5
G000013	1529	1361	2160	1594	1462	2651	2357
G000014	0	35	48	0	55	9	4586.5
G000015	24	30	53	34	14	57	936
G000016	13	0	0	0	0	0	682
G000017	490	727	1122	660	1150	831	723
G000018	96	34	93	36	77	57	1238
G000019	784	663	838	525	1072	796	702
G000020	243	140	278	172	272	239	808
G000021	0	0	0	0	0	10	508
G000022	743	840	367	228	624	512	591.5
G000023	2013	2138	2034	1494	2354	2167	689
G000024	947	1042	623	712	1038	1071	756
G000025	10	30	87	60	59	54	496
G000026	0	0	0	0	0	0	2424
G000027	8	0	5	0	9	7	1230
G000028	0	0	2	1	0	0	679.5
G000029	1647	1869	2334	2008	1626	2221	603
G000030	4314	4034	3112	2620	4789	2498	1408
G000031	628	658	622	308	669	675	1958
G000032	2	0	0	0	0	0	862
G000033	3872	3622	5708	4825	4717	5105	632
G000034	0	58	18	14	0	7	3256
G000035	128	87	62	32	166	52	1346
G000036	0	46	14	0	0	25	1180.5
G000037	623	535	966	675	442	762	2081
G000038	1358	1577	1811	1241	1981	1625	768
G000039	54	19	26	32	21	17	1477
G000040	187	179	320	312	250	361	1163
G000041	703	984	233	156	830	194	804
G000042	284	556	620	358	467	672	845
G000043	937	1247	1048	729	1159	1022	733
G000044	54	53	32	1	38	22	651.5
G000045	2597	2578	2840	1233	4479	1857	7560
G000046	1510	1478	1102	984	1339	1395	566
G000047	74	35	228	173	109	121	4053
G000048	2390	2419	4382	3970	2617	4196	2338
G000049	327	306	395	179	594	343	640
G000050	4052	5048	4643	4595	4023	5697	729
G000051	17	27	0	0	0	0	1458.5
G000052	4524	5010	5585	6233	5861	7353	572
G000053	3686	4203	7090	6308	5578	5802	1969
G000054	1065	1137	1589	1493	1140	2024	841.5
G000055	23	24	68	116	27	50	3536
G000056	1089	664	2121	1244	1838	1374	766
G000057	386	427	541	324	469	507	801
G000058	0	4	3	24	6	13	1424
G000059	2	13	11	0	40	10	4068.5
G000060	3525	5032	3815	2436	3197	5690	780
G000061	10472	12632	8915	6555	16345	9600	1413.5
G000062	0	0	0	0	0	0	1424
G000063	11	10	15	0	2	0	707
G000064	201	236	1189	845	215	1182	2225.5
G000065	1	29	1	0	6	0	2876
G000066	1117	1157	3986	3055	1696	3359	578
G000067	1235	1442	1773	1058	1245	1396	1031
G000068	1960	2617	3874	3176	3192	2952	2570
G000069	4	1	5	0	0	0	1191
G000070	28	23	35	0	65	63	1757.5
G000071	1864	2564	1388	1314	2993	1682	1072
G000072	2138	1805	2140	1864	2693	1653	3022
G000073	0	0	0	0	0	0	1386
G000074	2521	1975	2692	2372	3101	2399	5344
G000075	377	688	1153	1107	895	987	585
G000076	9262	12597	11925	11919	10786	15409	629
G000077	157	197	274	101	158	362	1130
G000078	47	56	31	28	0	21	2216
G000079	735	1087	700	554	812	835	770.5
G000080	892	894	4577	3177	1273	3680	3821.5
G000081	0	0	0	0	0	0	1667.5
G000082	19	34	63	55	27	59	1684
G000083	446	270	926	631	443	887	3356
G000084	424	832	1166	835	1054	1343	621
G000085	0	4	0	0	16	6	1931
G000086	118	192	414	328	121	565	2720
G000087	1846	2071	2844	2635	1800	3052	2181
G000088	488	424	307	313	305	201	2407.5
G000089	279	289	161	122	267	116	2566
G000090	0	0	0	0	8	0	886
G000091	263	319	617	311	398	441	1385
G000092	228	277	648	329	554	511	814.5
G000093	987	971	2465	1392	1541	1674	10083
G000094	0	0	5	0	0	3	7626
G000095	0	0	0	0	0	0	3263
G000096	0	0	0	0	0	0	1058
G000097	780	1347	1566	704	1220	1296	1066
G000098	529	751	474	383	677	608	864
G000099	137	278	282	193	366	224	1213
G000100	7	14	29	91	37	30	2007
G000101	594	710	1035	709	1417	627	1544
G000102	922	679	687	563	580	543	803
G000103	528	391	424	408	431	491	3049
G000104	1384	1467	2607	1477	2289	2272	4109
G000105	409	478	463	397	507	406	597.5
G000106	1932	1663	2900	1611	2831	1983	912
G000107	619	614	938	615	948	902	654.5
G000108	11	0	5	0	3	0	3186
G000109	128	232	125	33	210	115	590
G000110	92	142	74	76	164	15	827
G000111	469	674	2041	980	962	1251	2906
G000112	5626	6959	5201	3763	8338	4045	1746
G000113	1484	1999	2078	1910	1941	2394	2346
G000114	0	9	0	0	20	0	3232
G000115	2146	2586	3237	2126	2284	3115	1547
G000116	3143	3420	3192	2843	3498	3299	2937
G000117	520	846	661	624	572	1043	846
G000118	1	0	1	0	7	1	1802
G000119	95	111	124	64	69	88	3502.5
G000120	1095	1584	1659	1422	1191	1991	1297
G000121	8	4	0	0	0	1	1583
G000122	0	0	0	0	0	0	1287
G000123	59	88	73	77	90	42	2970.5
G000124	0	0	10	0	0	0	691.5
G000125	0	0	13	42	0	24	1324
G000126	0	0	0	0	0	0	1136
G000127	558	426	1135	661	630	974	4033
G000128	10	0	0	0	0	0	3088
G000129	2460	1854	637	520	2371	655	717
G000130	6709	6396	7441	5511	9264	5240	3425
G000131	0	0	0	0	0	0	975
G000132	1011	1068	878	626	922	765	2523
G000133	10	14	1	0	0	3	3316
G000134	1028	973	1199	1222	1068	1290	878
G000135	0	7	16	0	20	1	6843
G000136	209	194	129	235	203	180	936
G000137	0	22	32	35	24	20	1701
G000138	15	20	184	88	76	53	3681
G000139	2334	2594	2929	2613	2553	3468	768
G000140	289	341	375	250	324	241	689
G000141	292	330	343	109	494	142	5188.5
G000142	1515	2209	2425	2234	3470	2186	1218.5
G000143	720	668	946	750	922	1024	936
G000144	317	308	78	78	348	78	2076
G000145	0	0	7	0	0	0	2149
G000146	310	807	1288	954	926	1043	2516
G000147	0	0	0	0	0	0	614.5
G000148	486	520	1369	1166	1133	832	578
G000149	0	0	0	0	0	0	1194
G000150	2423	3928	3487	3150	2973	5873	954
G000151	422	600	1074	674	688	1059	1035.5
G000152	45	36	56	47	69	22	2271
G000153	953	1061	1427	744	1130	1765	664
G000154	402	601	704	642	456	681	1446.5
G000155	340	319	344	442	435	435	3077
G000156	1058	1050	1409	1520	1190	2103	1631
G000157	2697	2841	2881	2659	3966	1997	573
G000158	31	28	34	5	71	26	3001
G000159	1477	1270	2272	2194	1654	2030	2597
G000160	4	11	0	13	0	11	656
G000161	0	0	15	42	9	21	1347.5
G000162	585	583	349	218	555	321	2655.5
G000163	149	208	260	314	317	209	4106.5
G000164	3795	3919	4322	3219	4714	3473	488
G000165	10	7	35	34	71	13	1417
G000166	0	3	0	0	1	2	1119
G000167	1328	1210	867	688	2042	651	3260
G000168	76	149	234	158	243	169	622
G000169	3270	3308	2576	2542	3483	3960	986
G000170	0	0	6	0	0	8	1008
G000171	3711	4512	4864	3671	4744	4678	1277
G000172	4	0	14	35	0	9	4089
G000173	0	17	2	0	12	0	9198
G000174	4472	3769	8291	5983	6786	5768	7366.5
G000175	0	0	4	0	0	0	2435
G000176	5118	4277	3730	2508	7318	2776	6025
G000177	131	113	25	85	212	89	794
G000178	0	0	16	12	0	4	2078
G000179	2	0	0	0	0	4	1305
G000180	2	15	9	19	0	0	1258
G000181	0	0	0	0	0	5	7805
G000182	421	466	560	670	474	638	1142.5
G000183	16	5	16	0	29	5	593.5
G000184	0	18	24	0	17	10	782
G000185	799	600	829	819	557	813	2050
G000186	419	303	167	81	339	90	907.5
G000187	671	730	1022	562	840	1320	969.5
G000188	8	15	2	11	13	5	5288
G000189	54	46	22	12	114	15	4529.5
G000190	1266	1519	1171	1031	1588	1390	1243
G000191	663	421	702	340	651	599	1109
G000192	547	447	649	617	598	376	664
G000193	260	260	250	137	215	110	2856
G000194	0	0	0	0	0	0	3538
G000195	1153	878	2377	2064	1634	1531	1166
G000196	10	4	0	0	0	0	1142
G000197	910	1438	811	805	1395	969	2231
G000198	0	6	6	19	5	48	1584
G000199	560	490	1021	750	393	771	2870.5
G000200	5178	8004	6272	6542	5857	8346	928
G000201	0	0	1	0	0	0	3184
G000202	1162	1391	2308	1504	1792	1765	3216
G000203	0	0	12	54	16	0	3453
G000204	3	18	45	157	0	27	1624
G000205	508	372	588	551	513	781	953.5
G000206	1056	773	1465	1496	823	1584	859
G000207	0	2	0	0	2	0	1366.5
G000208	0	0	0	0	0	0	1204
G000209	0	0	2	0	0	0	3149
G000210	5405	5503	4669	3590	6947	3955	576
G000211	233	193	380	268	201	214	2636.5
G000212	1213	1923	2979	1584	2039	2798	1105
G000213	0	0	0	0	0	1	2981
G000214	3117	3243	5492	3410	6162	4309	944
G000215	49	59	88	39	86	62	5297
G000216	338	336	646	332	800	432	2922
G000217	0	0	0	0	0	0	1424
G000218	434	394	335	176	338	529	815
G000219	219	211	190	111	228	141	1536
G000220	55	13	37	137	4	56	655
G000221	824	832	1104	822	973	892	1023.5
G000222	0	0	0	0	0	0	949
G000223	737	545	800	647	1342	582	5530
G000224	793	930	1119	722	1077	679	712.5
G000225	4	6	29	1	0	0	2080.5
G000226	0	13	0	0	0	0	790
G000227	522	434	633	438	604	393	1088
G000228	0	1	6	1	29	0	2864.5
G000229	2405	2400	1931	1384	3026	1436	1524
G000230	532	373	859	800	522	653	700
G000231	801	690	1306	882	1220	924	836
G000232	1977	2682	2388	1750	3949	1957	713
G000233	14419	19948	9349	11234	14908	15612	671
G000234	19138	20845	30051	21632	28485	25073	741
G000235	2786	2343	4603	3295	4122	3007	715.5
G000236	757	541	971	916	1365	812	5454
G000237	0	0	35	0	0	1	12875
G000238	1	0	1	0	0	6	2260
G000239	17	10	37	17	34	23	1458
G000240	0	0	0	0	8	0	994
G000241	168	145	314	91	187	246	1050
G000242	19	46	57	95	39	26	1065
G000243	382	536	731	675	525	644	570
G000244	1005	1700	2253	1697	1693	2363	1383
G000245	0	0	5	0	0	0	3039
G000246	2004	1571	3563	2797	2875	3147	5428
G000247	1380	1838	2489	1496	2152	2463	1516
G000248	0	0	5	0	0	0	1719
G000249	402	606	568	463	794	534	1667
G000250	1971	2181	3007	1756	2308	3141	2154
G000251	174	400	106	127	123	172	855
G000252	2817	3620	5600	4596	3507	5035	2054
G000253	4419	4557	4421	4192	4408	4862	854.5
G000254	913	1426	1456	870	1580	1713	1353
G000255	0	0	3	0	0	28	969
G000256	0	0	1	0	0	0	702
G000257	2001	1814	6560	5085	2495	4821	654
G000258	1014	713	657	766	1269	780	2683
G000259	0	3	9	0	0	4	1721.5
G000260	78	85	154	101	177	89	1196
G000261	108	44	49	44	89	58	848
G000262	852	584	575	337	1101	524	923.5
G000263	1	6	5	0	13	0	2160
G000264	689	517	789	727	747	870	937
G000265	0	22	7	0	4	0	560
G000266	1062	1331	993	640	1907	943	1156
G000267	0	0	0	0	0	0	704.5
G000268	461	519	656	655	507	799	3133
G000269	14	0	5	0	5	5	600.5
G000270	11	48	71	67	139	79	882.5
G000271	67	28	38	115	17	130	858
G000272	337	182	271	246	295	291	1016
G000273	399	398	635	511	543	577	3108
G000274	3183	3152	4117	3906	3500	4482	851.5
G000275	272	294	542	334	652	276	9572.5
G000276	5	12	15	7	3	9	1164.5
G000277	4009	4351	5717	4068	4626	5743	2827.5
G000278	3403	2748	1846	1333	3001	2051	887.5
G000279	353	434	523	293	614	315	1062
G000280	17	12	7	0	0	0	4592
G000281	663	532	643	549	934	578	763.5
G000282	0	0	0	0	0	0	2431
G000283	553	557	544	424	926	604	692
G000284	202	279	1314	764	413	871	2621
G000285	236	217	249	397	210	206	2158
G000286	157	301	331	381	336	403	2008.5
G000287	253	174	288	238	120	295	631
G000288	0	0	1	0	0	3	797
G000289	1961	1857	1348	918	2179	1161	2114
G000290	145	284	564	296	372	527	2693.5
G000291	2230	2284	2934	2229	2792	3645	628
G000292	2453	1879	2469	2148	2969	1873	751
G000293	677	702	992	881	771	1216	1686
G000294	9186	9416	16170	13420	10744	12437	3231.5
G000295	41	37	124	121	72	192	1567
G000296	0	0	6	0	7	14	1924
G000297	586	427	1082	680	819	840	692
G000298	575	595	1725	1014	1267	734	2090
G000299	81	66	81	85	72	45	1414
G000300	1639	2146	6605	4484	3199	4927	707
G000301	1326	1219	2220	1749	2298	1265	3899.5
G000302	1175	1240	945	662	1818	896	575
G000303	35	44	10	0	0	0	788
G000304	268	291	459	362	250	532	2162
G000305	2037	1740	2528	2212	1801	2858	1300
G000306	701	719	578	621	802	653	2818
G000307	1426	1601	1581	1238	3151	1040	558
G000308	0	1	0	0	0	0	1733
G000309	0	0	0	0	0	0	579
G000310	101	153	455	207	221	490	1905
G000311	440	296	134	124	479	74	1697
G000312	468	586	1895	1281	956	1562	2108
G000313	1116	1404	886	962	1155	923	3119
G000314	34	13	106	95	0	66	3053
G000315	235	168	60	55	253	47	2143
G000316	1833	2022	2220	1142	3029	1620	4428
G000317	167	259	543	562	240	392	1664.5
G000318	3	0	0	0	3	6	684
HK00001	2133	1519	2119	1372	2320	1785	555
G000319	0	0	0	0	0	0	1630
G000320	4262	6519	7354	6156	7115	5336	1142.5
G000321	0	0	0	0	0	0	604
G000322	231	350	527	421	530	361	4701
G000323	1079	1082	250	333	1360	242	635
G000324	1230	1261	2319	2089	1149	2431	587
G000325	1887	2304	1179	618	2864	959	595
G000326	276	324	147	52	507	153	3982
G000327	6207	7535	7398	6314	7058	9202	1386.5
G000328	970	918	408	384	979	152	2968
G000329	0	0	2	0	0	0	2797.5
G000330	0	16	10	0	0	0	938.5
G000331	1653	1869	2015	1793	2041	2118	1607
G000332	679	725	245	138	838	219	2833
G000333	1120	986	1413	1015	1528	1543	867
G000334	871	1221	1871	1524	1317	1829	695
G000335	204	204	147	78	193	138	1770.5
G000336	284	470	481	445	437	834	1192
G000337	646	709	1013	736	864	712	2080
G000338	599	604	590	483	725	362	710.5
G000339	327	461	1668	1402	529	1673	784
G000340	64	106	128	232	140	120	942
G000341	142	270	693	435	339	425	951
G000342	297	398	633	319	294	634	912.5
G000343	0	19	6	50	13	18	897
G000344	264	120	196	133	194	231	2888
G000345	0	0	1	0	8	0	1051.5
G000346	1632	1619	3803	3298	1835	4149	825
G000347	819	479	1100	822	1233	818	2341
G000348	485	752	1472	1283	671	1327	1499
G000349	277	206	492	371	301	407	546
G000350	1831	1482	1276	1267	1816	1003	588.5
G000351	0	0	0	0	0	0	581
G000352	6093	8267	8600	6265	6505	11912	808
G000353	2082	2182	2129	1655	3237	1922	1632.5
G000354	24	37	46	0	10	43	2249
G000355	1142	1557	2039	1390	1730	2168	1502.5
G000356	85	77	71	29	144	52	1073.5
G000357	187	344	322	363	296	444	641.5
G000358	891	1104	1023	811	1382	848	2068
G000359	0	0	0	25	13	6	718
G000360	53	37	16	0	37	16	1647
G000361	1118	1250	888	777	1156	1069	1636.5
G000362	3471	4503	10200	7993	7045	9932	629
G000363	0	0	0	0	0	0	4071
G000364	683	824	565	519	911	613	2107
G000365	0	0	1	0	0	0	1250
G000366	1548	1379	2697	2152	1628	2325	659
G000367	0	18	19	0	0	3	1456.5
G000368	0	1	0	1	0	0	631
G000369	0	0	0	0	0	3	1244
G000370	0	0	0	0	9	0	1604
G000371	1167	1536	1245	918	1355	1358	812.5
G000372	2355	3002	3529	2698	3904	3063	3386
G000373	35	32	34	38	30	11	4632
G000374	44	61	141	0	76	139	761
G000375	0	0	3	0	0	0	800
G000376	10	45	9	16	16	30	1057
G000377	1322	983	1584	1194	1812	1363	4353
G000378	576	457	970	760	780	903	724
G000379	388	339	260	249	516	221	1347
G000380	12	0	18	0	0	0	975
G000381	9888	11040	5299	3461	16440	4626	650.5
G000382	1922	2489	4322	3057	3380	4256	1032
G000383	0	0	0	0	0	0	1772
G000384	438	807	802	817	543	869	1903
G000385	0	0	0	0	0	1	1626.5
G000386	1044	992	1659	1200	1321	1575	584.5
G000387	16	64	13	32	44	15	2297
G000388	0	0	0	0	0	0	1169.5
G000389	831	746	1238	829	958	778	1859.5
G000390	0	0	0	0	0	0	1564
G000391	0	0	4	0	0	0	1066
G000392	26	2	14	28	0	2	1157
G000393	11	16	18	0	0	5	1710
G000394	901	1198	1574	1175	1061	835	2146
G000395	72	66	32	77	75	27	791.5
G000396	0	0	18	0	0	0	1111
G000397	1308	1421	1504	1056	1700	1644	3141
G000398	2184	1791	2105	1659	2647	1417	1390
G000399	486	258	577	695	571	319	3127.5
G000400	0	0	0	0	0	0	1642.5
G000401	344	334	511	502	508	519	2037.5
G000402	597	729	574	689	728	803	616
G000403	606	662	776	685	936	825	1812
G000404	867	1177	1778	1240	1151	1383	1392
G000405	394	421	600	363	522	817	1212
G000406	2442	2419	975	1069	2436	1270	625
G000407	0	1	4	0	0	2	872
G000408	0	0	0	0	0	0	1223.5
G000409	0	0	0	0	0	0	1772
G000410	262	698	1053	879	1023	739	5116.5
G000411	0	0	0	0	10	0	3211
G000412	297	298	218	136	284	78	1032
G000413	1172	982	1968	1904	1778	1358	5461
G000414	136	58	45	106	77	27	1054.5
G000415	0	0	0	0	0	0	1328.5
G000416	371	257	603	440	345	482	1017
G000417	7267	8207	12801	9362	7335	17229	754.5
G000418	1	1	3	0	1	0	2101
G000419	409	570	945	672	489	948	3415.5
G000420	202	196	492	364	210	276	3367
G000421	4216	4185	3629	3267	4756	3754	583
G000422	190	251	224	191	263	208	3204.5
G000423	1133	1300	2169	1739	1246	2432	1129.5
G000424	0	0	10	0	0	6	2761
G000425	2422	2443	3519	3148	1821	3806	1059
G000426	4871	4865	6459	5486	6724	6587	2271
G000427	1484	1899	3114	2123	3349	2446	711
G000428	2153	2207	1894	1671	2207	2828	4854
G000429	982	1206	1403	1086	1635	1531	2212
G000430	23	0	0	0	0	0	664
G000431	859	1225	2136	1656	3063	1152	9913
G000432	286	590	572	419	577	785	774
G000433	1012	1133	462	490	1165	485	2656
G000434	1287	1802	1998	1953	1389	1758	816.5
G000435	9030	12421	8098	6166	11245	10163	1364
G000436	1536	1311	2436	1686	2524	1356	1714
G000437	561	452	502	398	475	635	591
G000438	1014	1121	1506	1110	885	1985	1025
G000439	642	760	3371	2004	1025	2503	625
G000440	1070	1331	1719	1090	1834	1142	6032.5
G000441	314	276	352	175	262	297	1842.5
G000442	771	948	2526	1693	1171	2380	2185
G000443	409	328	295	334	436	537	1361
G000444	1380	2033	3575	2515	1905	4237	4015
G000445	836	904	688	498	881	884	2549
G000446	1232	1021	1604	1109	1417	1243	726
G000447	42	58	60	21	25	47	1052
G000448	166	188	86	49	182	106	753
G000449	36	57	63	32	14	54	1611
G000450	1423	1563	2379	2082	1549	2385	1432.5
G000451	1084	1005	2600	2453	1196	2743	2062
G000452	1886	2434	3505	3543	2933	4461	678
G000453	1937	1920	2764	2100	2794	1925	2299
G000454	36566	45212	31178	25049	37377	34907	1139
G000455	14	14	37	20	29	10	5122.5
G000456	13	0	2	0	0	0	979
G000457	475	402	244	318	337	451	1220
G000458	20	0	1	0	0	5	720
G000459	23	14	65	52	94	21	1031.5
G000460	200	63	122	42	125	54	1037.5
G000461	0	24	37	47	19	53	1352
G000462	246	261	326	160	378	218	1758
G000463	794	993	893	736	784	792	803
G000464	700	941	610	472	958	515	553
G000465	0	0	2	0	0	1	5101
G000466	752	1161	404	260	1193	724	876
G000467	649	677	391	434	596	461	1305
G000468	27	7	14	31	3	1	1249
G000469	300	410	624	383	527	558	1676
G000470	0	0	0	0	0	0	725
G000471	591	506	799	814	961	916	690
G000472	4	5	0	0	0	12	1198
G000473	1623	1609	1915	1610	2201	1733	1417
G000474	4254	4597	3605	2927	4672	3958	8077
G000475	477	936	724	594	686	797	808
