miRNA_id	A1	B1	A2	B2	A3	C1	C2	length
miRNA0001	309	54	230	33	90	38	232	21
miRNA0002	150646	44347	215166	39495	175803	200926	322302	21
miRNA0003	113	14	94	3	30	61	145	21
miRNA0004	180225	64455	216404	24598	173905	207556	196670	21
miRNA0005	309	54	230	33	90	38	232	21
miRNA0006	343757	133429	446425	88082	363289	788441	909531	21
miRNA0007	603	124	337	83	139	509	1013	21
miRNA0008	6050	2718	13951	3224	8224	23322	19693	21
miRNA0009	50	5	56	9	26	18	44	21
miRNA0010	8946	1896	16951	1828	10634	9168	6086	21
miRNA0011	67	5	48	7	16	15	46	21
miRNA0012	119791	29581	183043	42633	137135	130249	301057	21
miRNA0013	7	1	19	0	12	6	4	21
miRNA0014	6545	2227	19117	3728	9163	21592	34337	21
miRNA0015	16	6	44	3	17	8	5	21
miRNA0016	3375	1048	4932	969	3359	3740	7676	21
miRNA0017	34	4	46	10	12	6	14	21
miRNA0018	7927	546354	3246	789901	3404	1248	8700	21
miRNA0019	17980	547175	14115	790812	20020	15007	29018	21
miRNA0020	23554	546354	35913	789901	24755	16475	23611	21
miRNA0021	11	1	20	0	14	1	8	21
miRNA0022	3002	1374	2152	741	2408	8957	11734	21
miRNA0023	1689	1660	784	1319	1191	3226	12048	21
miRNA0024	1	4	5	4	6	17	13	21
miRNA0025	10457	4908	10533	4208	9203	4380	9746	21
miRNA0026	6	0	1	0	2	4	4	21
miRNA0027	17261	2824	14115	1703	15142	7119	6791	21
miRNA0028	9	1	6	0	7	2	9	21
miRNA0029	0	0	0	0	0	0	0	21
miRNA0030	0	0	0	0	0	0	0	21
miRNA0031	0	0	0	0	0	0	0	21
miRNA0032	154	5	113	6	94	2	1	21
miRNA0033	556	80	277	44	275	120	112	21
miRNA0034	11147	1194	12583	862	10183	889	1265	21
miRNA0035	236	62	225	38	219	173	204	21
miRNA0036	0	0	2	0	0	0	1	21
miRNA0037	13	2	11	5	24	6	22	21
miRNA0038	2329	977	2241	1032	2332	7205	13577	21
miRNA0039	6	0	1	1	6	2	9	21
miRNA0040	799	491	496	592	545	3499	10066	21
miRNA0041	0	0	0	0	0	0	0	21
miRNA0042	14	0	21	5	13	0	1	21
